,version,baseline,model_type,train_acc,test_acc,bal_acc,recall,precision,f1_score
only_null_clean_mnb,v1,0.6128214156320643,mnb,0.922687910799016,0.9204422452450904,0.9117225675799704,0.8730779983226167,0.9174500587544064,0.8947142243231628
only_null_clean_bnb,v1,0.6128214156320643,bnb,0.9086664788002956,0.905458481521571,0.911224466970634,0.9367786253444628,0.8381034051523922,0.8846980726436089
only_null_clean_rfc,v1,0.6128214156320643,rfc,0.7494649616524117,0.7479511365393536,0.6754635879985034,0.3542074363992172,0.9855539504389376,0.5211234502614724
only_null_clean_logreg,v1,0.6128214156320643,logreg,0.9523073290733364,0.9439152620998916,0.9393369260357668,0.919046287791046,0.9349910612709248,0.926950111780226
only_null_clean_abc,v1,0.6128214156320643,abc,0.930608763204594,0.9262254522962734,0.9184409657866937,0.883941051958944,0.922285190432536,0.9027061198686706
only_null_clean_bgc,v1,0.6128214156320643,bgc,0.7830448061295212,0.7819081490644813,0.7255647725845025,0.4758576620472063,0.9240015509887554,0.628196341013339
full_clean_mnb,v2,0.6091260675726486,mnb,0.9234765459020468,0.9202435014730537,0.9117630370873562,0.8729074706421254,0.9189829022358614,0.8953528105245173
full_clean_bnb,v2,0.6091260675726486,bnb,0.9205663296801969,0.9185995409932125,0.9154195415285645,0.9008495044557342,0.8919721271595267,0.8963888370936665
full_clean_rfc,v2,0.6091260675726486,rfc,0.7488876239647888,0.7466022103943878,0.6771016409851025,0.358665778295994,0.9809794988610478,0.5252790144538635
full_clean_logreg,v2,0.6091260675726486,logreg,0.9502938276157873,0.9422497843319172,0.9370708626819091,0.9133422170400599,0.9373076923076923,0.925169781077319
full_clean_abc,v2,0.6091260675726486,abc,0.9274770910665181,0.9248661230203298,0.9164602058849864,0.8779461980511368,0.9259926212227688,0.9013295712025993
full_clean_bgc,v2,0.6091260675726486,bgc,0.7768112688703069,0.7763074368865668,0.7198675169356545,0.46127259098858997,0.9321720104350754,0.6171546368777336
balanced_mnb,v3,0.5,mnb,0.922572043892934,0.9182560173232281,0.9182560173232281,0.9264595652536021,0.911504424778761,0.9189211515426873
balanced_bnb,v3,0.5,bnb,0.9191364988206338,0.9156741900558008,0.9156741900558008,0.9088031981344216,0.9214659685863874,0.9150907794876094
balanced_rfc,v3,0.5,rfc,0.9039585683519639,0.9020779545265262,0.9020779545265262,0.9512784209211294,0.8660575501383782,0.9066698418368361
balanced_logreg,v3,0.5,logreg,0.949605168700646,0.9378695760806196,0.9378695760806197,0.9417839593570417,0.9344682257664656,0.9381118300978929
balanced_abc,v3,0.5,abc,0.9222233617064917,0.9164029316232198,0.9164029316232198,0.95744149246273,0.8848181643255725,0.9196983939678794
balanced_bgc,v3,0.5,bgc,0.8543123782176187,0.8530648788206879,0.8530648788206879,0.7786707753810277,0.914779120395284,0.8412552018895513
